ID,PINGYING,OFFICE,ILLNESS2010,ILLNESS2009,ILLNESS2008,PHONE,X,Y,SIZE
1,lu gou qiao yi yuan,100072,500,300,100,1083211441,116.240227,39.838136,1
2,yu quan yi yuan,100041,1000,800,600,1088257755,116.24658,39.907778,2
3,er long lu yi yuan,100032,450,250,50,1066014447,116.366238,39.91041,2
4,er tong yi yuan,100045,800,600,400,1068028401,116.356184,39.912765,3
5,fu xing yi yuan,100038,6000,5800,5600,1088062158,116.339846,39.906096,3
6,xie he yi yuan xi yuan,100032,10000,9800,9600,1088068177,116.36736,39.912075,1
7,guang nei yi yuan,100053,6000,5800,5600,1063037685,116.371501,39.894329,1
8,guang wai yi yuan,100055,5000,4800,4600,1063467831,116.330924,39.888597,1
9,hui min yi yuan,100054,800,600,400,1063527755,116.363468,39.882025,2
10,shou du yi ke da xue xuan wu yi yuan,100053,2000,1800,1600,1063012835,116.36314,39.891696,3
11,xuan wu qu bai yun lu yi yuan,100055,800,600,400,1063261607,116.340084,39.896749,1
12,xuan wu lao nian bing yi yuan,100053,800,600,400,1063155721,116.370468,39.898056,1
13,zhong yi yan jiu yuan guang an men yi yuan,100053,500,300,100,1063013311,116.352985,39.890832,3
14,bao ren zhong yi yuan,100055,1000,800,600,1063460856,116.312151,39.887658,1
15,chang feng yi yuan,100071,1500,1300,1100,1088246570,116.280435,39.88924,1
16,dian li zong yi yuan,100071,2000,1500,1300,1063465865,116.315031,39.886223,3
17,feng tai qu yi yuan,100071,2500,2000,1800,1063811115,116.278809,39.848774,2
18,guang ji yi yuan,100071,3000,2500,2300,1083617273,116.329913,39.848233,1
19,he ping yi yuan,100054,3500,3000,2800,1083541590,116.353075,39.858715,1
20,li ze yi yuan,100071,4000,3500,3300,1063307560,116.318001,39.866873,1
21,lu gou qiao guo yi yuan,100073,4500,4000,3800,1063895288,116.284997,39.871341,1
22,yi xing yi yuan,100071,5000,4500,4300,1063846847,116.291831,39.855436,1
23,you an men yi yuan,100071,5500,5000,4800,1083511133,116.362823,39.859177,1
24,you an yi yuan,100071,6000,5500,5300,1083996599,116.355913,39.867574,1
25,you wai yi yuan,100071,1000,800,600,1063554840,116.368787,39.866874,1
26,hang tian zhong xin yi yuan,100041,2000,1800,1600,1068763752,116.252606,39.916584,2
27,shui li bu bei jing zong yi yuan,100036,3000,2800,2600,1088614818,116.307942,39.912988,2
28,xi cui yi yuan,100039,4000,3800,3600,1088278610,116.253297,39.897635,1
29,zhong xi jie he yi yuan,100000,5000,4800,4600,1068212075,116.265515,39.906063,2
